"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","REPUBLIC","XMAS","substitute_avg_price","sum_rows","weekly_qty","yhat"
"62",2017-03-05,-0.803380008599106,-15.6866625755691,-8.86906244307031,16.1544024869243,-12.7284946457042,0,0,20.1716815682965,1.60570958699702,0,0,0,0,0,0,0,0,-0.569679358615389,-0.725485389340264,171,202.128727763011
"63",2017-03-12,-0.772698941643171,-15.0875892358736,-7.72524999084027,14.5153477562797,-10.9988736026679,0,0,4.51141028062295,3.07650653098213,0,0,0,0,0,0,0,0,5.29491465692436,-7.18623254621573,161,194.409435567743
"64",2017-03-19,-0.852568844087898,-16.6471154827106,-7.51457510680444,14.9416116494957,-10.8024501941581,0,0,22.4555187834824,6.73530056321482,0,0,0,0,0,0,0,0,3.80271713143532,12.1184384998672,251,214.50453576306
"65",2017-03-26,-0.75691497748349,-14.7793942133096,-5.83107438044487,12.3597131678988,-8.46712309987205,0,0,3.55834980717083,4.50256231968794,0,0,0,0,0,0,0,0,-1.18985013585581,-10.6037315122083,211,190.438223239203
"66",2017-04-02,-9.36137977841472,-14.2270661109679,-4.69517294739524,11.0723536508006,-7.14461749032276,0,0,0.502761341792706,1.45630317087338,0,0,0,0,0,0,0,0,5.1069399065909,-17.2898782570431,199,183.321261546666
"67",2017-04-09,-12.3482315350234,36.9927026231474,-4.62866291811375,13.5766465221268,-8.20976185770155,0,0,14.4624333799011,0,0,0,0,0,0,0,0,0,1.63640943572784,41.4815356500645,225,241.81193760458
"68",2017-04-16,-9.23115644377322,-14.0291576791994,-2.63947138959958,9.42496653560701,-5.31795723437043,0,0,0.640929084190418,0,0,0,0,0,0,0,0,0,1.82303440953166,-19.3288127176136,161,180.771134689903
"69",2017-04-23,-10.6235268303502,31.8258503437942,-1.86619508724701,10.0625567272191,-5.27872280472442,0,0,10.4164157727889,0,0,0,-32.6091862938204,0,0,0,0,0,0.43848556068653,2.36567738834668,214,208.037531508464
"70",2017-04-30,-9.22513133111687,27.6365517623767,-0.66531519423836,8.09912170578119,-3.93825652087253,0,0,11.3852036663006,0,0,0,0,-70.3995843215102,0,0,0,0,4.57965654788489,-32.5277536853947,168,180.653146607027
"71",2017-05-07,-15.5103074976665,101.516419848744,0.637406100977728,35.2981505886159,-13.5300545670411,-20.9694971745944,0,9.55984996506186,0,0,0,0,0,0,0,0,0,4.17300848605754,101.174975750155,318,303.733979899535
"72",2017-05-14,-10.9081329631875,-16.5777623051179,1.84214904895089,23.4322210342304,-8.3417446668042,0,0,17.2253228682896,0,0,0,0,0,0,0,0,0,4.23962345628291,10.9116764726442,202,213.610893187043
"73",2017-05-21,-11.2337767308984,-17.0726632194608,3.22148100986789,22.7332008389969,-7.48438343194579,0,0,23.2109826252122,0,0,0,0,0,0,0,0,0,3.96973363047852,17.3445747222505,199,219.987883302243
"74",2017-05-28,-10.4424448113413,-15.8700273044841,4.21221930340411,19.8698894831872,-6.02874932973839,0,0,11.5104184770675,0,0,0,0,0,0,0,0,0,-0.998667898326289,2.25263791976872,216,204.491453371065
"75",2017-06-04,-13.5833919732621,88.9045766974761,7.70937668824428,34.5266692148162,-17.4168684648888,-18.364361870168,0,19.1060066539285,0,0,0,0,0,-56.5951535387895,0,0,0,2.26758996948723,46.5544433768439,262,265.999736316962
"76",2017-06-11,-11.707692904722,10.2296475665345,8.6831822859086,28.2121667748742,-13.5397948471091,0,0,1.36959568443996,0,0,0,0,0,0,0,0,0,5.0980468442558,28.345151404182,179,229.268450153407
"77",2017-06-18,-10.6698118257098,-16.2155709766181,9.71023424979794,24.321267225567,-11.0221394600662,0,0,3.30732234715907,0,0,0,0,0,0,0,0,0,6.72016125035151,6.15146281048141,275,208.943917526428
"78",2017-06-25,-11.2315059589401,-17.0692121872904,11.8130884503188,24.1670689163336,-10.2748526609171,0,0,21.3285015409348,0,0,0,0,0,0,0,0,0,-1.781089695525,16.9519984049146,248,219.943415415036
"79",2017-07-02,-11.727693491854,-17.823298978052,13.8930984712336,23.7735535177091,-9.42966319153413,0,0,24.4898163395657,0,0,0,0,0,0,0,0,0,4.30323952935785,27.4790521964261,221,229.660116013729
"80",2017-07-09,-12.7408633033853,11.1323846933547,16.9118097926759,24.2862937253599,-8.94486681308879,0,0,14.7997307614415,0,0,0,0,0,0,0,0,0,6.6615448055893,52.1060336619472,286,249.500734854894
"81",2017-07-16,-11.2267992619293,-17.0620591296086,16.0786861209047,20.0877076948699,-6.84317831979939,0,0,10.1709082897139,0,0,0,0,0,0,0,0,0,6.70763585981928,17.9129012539705,222,219.851245494132
"82",2017-07-23,-11.301856072578,-17.1761275930673,16.6765796640354,18.9501284241236,-5.95199396918747,0,0,17.0770851127888,0,0,0,0,0,0,0,0,0,0.996630718978338,19.2704462850934,178,221.321061861107
"83",2017-07-30,-11.1952461049267,-17.0141058512125,16.3844544090776,17.5631932383948,-5.07280516819736,0,0,14.2543951499193,0,0,0,0,0,0,0,0,0,2.42360719899804,17.3434928720532,193,219.23334891431
"84",2017-08-06,-11.0298095741188,-16.7626817538375,15.6817359369535,16.1661620464924,-4.2849240941637,0,0,9.13128432538602,0,0,0,0,0,0,0,0,0,5.34182013454259,14.2435870212545,191,215.993651962421
"85",2017-08-13,-11.8420764399666,-17.9971337976281,15.8986884982164,16.1934004797095,-3.93236559490518,0,0,19.7414031335036,0,0,0,0,0,0,6.08446483112965,0,0,7.00333451194109,31.1497156220003,235,231.90004504596
"86",2017-08-20,-11.6023574639868,-17.6328180877601,14.3586593566558,14.783212686538,-3.2848276749194,0,0,23.4964079100943,0,0,0,0,0,0,0,0,0,5.60969218111822,25.7279689077401,253,227.205695907961
"87",2017-08-27,-10.5405545029107,-16.0191306526148,11.343685651429,12.4990406503811,-2.53880823573181,0,0,7.40890179868572,0,0,0,0,0,0,0,0,0,2.68075448769076,4.83388919692925,232,206.412707807289
"88",2017-09-03,-11.8121709285043,10.3209356939597,10.54183477323,13.0210854480264,-2.41602417648193,0,0,6.63413029212484,0,0,0,0,0,0,0,0,0,6.0742827071972,32.3640738095519,247,231.31441384434
"89",2017-09-10,-10.3038083864072,-15.6593329806117,7.3599943683148,10.547915131411,-1.78691117075752,0,0,3.82857621903929,0,0,0,0,0,0,0,0,0,6.44935654632584,0.435789727314472,180,201.776575338466
"90",2017-09-17,-10.5880650980515,-16.0913354337516,5.72515871315173,10.0557788023161,-1.55485084715801,0,0,11.8856713638967,0,0,0,0,0,0,0,0,0,6.45199361084045,5.884351111244,239,207.343094400312
"91",2017-09-24,-10.7349499269387,-16.3145653657425,3.89485821985514,9.45013884054171,-1.33340213451419,0,0,19.3922839706878,0,0,0,0,0,0,0,0,0,4.06101224836806,8.4153758522574,241,210.219498602581
"92",2017-10-01,-11.0949142919435,72.6172564674309,2.21735574309241,25.2634723484313,-17.3172244936891,-15.0000104080644,0,17.7899694473449,0,0,0,0,0,0,0,-100.013273078554,0,6.18951062703661,-19.3478576389149,209,217.268579300779
"93",2017-10-08,-11.0988896776874,-16.8676670469979,0.255949845601862,23.8555062059705,-16.0420512467961,0,0,21.7634641055912,0,0,0,0,0,0,0,0,0,11.8921058536422,13.7584180393244,244,217.346428159277
"94",2017-10-15,-10.4278123379212,-15.8477894323282,-1.39819798479303,21.1145655642939,-13.7915749692913,0,0,16.4241200144943,0,0,0,0,0,0,0,0,0,5.00643384860976,1.07974470306428,239,204.204909768474
"95",2017-10-22,-10.3109369907708,-15.6701667602425,-2.77428248881347,19.631485617581,-12.3410574103679,0,0,15.2303955081373,0,0,0,0,0,0,0,0,0,5.3055470312874,-0.929015493188899,199,201.916172788406
"96",2017-10-29,-10.2522530365343,-15.5809811362921,-4.09310147808588,18.3219811175881,-10.9937598846447,0,0,16.775274780206,0,0,0,0,0,0,0,0,0,3.81823986153717,-2.00459977622566,224,200.766981453601
"97",2017-11-05,-9.89150586368686,-15.0327314125408,-4.91431539526366,16.5649588971907,-9.41826703313032,0,0,15.1882298288546,0,0,0,0,0,0,0,0,0,-1.10420251991613,-8.60783349849257,128,193.702571250067
"98",2017-11-12,-9.42346147262731,-14.3214154898789,-5.11775497842481,14.7650027810734,-7.90448410797097,0,0,4.76122331397937,0,0,0,0,0,0,0,0,0,0.759963294441917,-16.4809266594073,201,184.536989865717
"99",2017-11-19,-9.83693558280243,-14.9497975916497,-5.58889563041808,14.3992684472334,-7.21919759344735,0,0,18.0766754086986,0,0,0,0,0,0,0,0,0,-4.58722712791678,-9.70610967030228,150,192.63393682101
"100",2017-11-26,-12.4346255617452,37.2515209429912,-7.47852902884583,16.9814115844455,-7.93674019913868,0,0,9.89820505413599,0,0,0,0,0,0,0,0,0,7.05626314101895,43.3375059328619,225,243.503767478341
"101",2017-12-03,-10.0035926396231,-15.2030765976691,-6.34319753784499,12.729148838878,-5.52487045284477,0,0,18.8233215572065,0,0,0,0,0,0,0,0,0,-0.868754875544795,-6.39102170744235,208,195.897534989783
"102",2017-12-10,-10.0369255459283,-15.2537346708271,-6.63633333696055,11.8857143581221,-4.77551286683729,0,0,14.7387251314376,0,0,0,0,0,0,0,0,0,4.72220963324173,-5.35585729775178,203,196.550283898547
"103",2017-12-17,-10.4873696339569,-15.9383023276648,-7.28495124679645,11.5448057703854,-4.2826814476289,0,18.0246222816466,11.6674399688078,0,0,0,0,0,0,0,0,0,-0.282802608867001,2.96076075592572,186,205.371203509568
"104",2017-12-24,-10.6205521655805,31.8169388742515,-8.12389802430675,10.8570134132266,-3.7106130517416,0,18.2535228459269,7.54843622038658,0,0,0,0,0,0,0,0,-50.9131901742723,3.24160322749682,-1.65073883461278,193,207.979279486735
